;artist;border_color;collector_number;color_identity;colors;flavor_text;image_uris;mana_cost;legalities;name;oracle_text;rarity;type_line;set;set_name;power;toughness
0;Jeremy Jarvis;black;1;['W'];['W'];She doesn't escort the dead to the afterlife, but instead raises them to fight and die again.;{'small': 'https://img.scryfall.com/cards/small/en/csp/1.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/1.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/1.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/1.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/1.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/1.jpg?1517813031'};{4}{W}{W};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Adarkar Valkyrie;"Flying, vigilance
{T}: When target creature other than Adarkar Valkyrie dies this turn, return that card to the battlefield under your control.";rare;Snow Creature — Angel;csp;Coldsnap;4;5
1;Randy Gallegos;black;26;['U'];['U'];Terisiare has only two kinds of weather: cold and weird.;{'small': 'https://img.scryfall.com/cards/small/en/csp/26.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/26.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/26.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/26.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/26.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/26.jpg?1517813031'};{4}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Adarkar Windform;"Flying
{1}{S}: Target creature loses flying until end of turn. ({S} can be paid with one mana from a snow permanent.)";uncommon;Snow Creature — Illusion;csp;Coldsnap;3;3
2;Daren Bader;black;101;['G'];['G'];;{'small': 'https://img.scryfall.com/cards/small/en/csp/101.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/101.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/101.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/101.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/101.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/101.jpg?1517813031'};{5}{G}{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Allosaurus Rider;"You may exile two green cards from your hand rather than pay this spell's mana cost.
Allosaurus Rider's power and toughness are each equal to 1 plus the number of lands you control.";rare;Creature — Elf Warrior;csp;Coldsnap;1+*;1+*
3;John Avon;black;143;['G', 'W'];[];"""A realm once green now ruled by Frost, Where flesh and field both pay its cost. Those dearly loved, forever lost . . ."" —The Dynasty of Winter Kings";{'small': 'https://img.scryfall.com/cards/small/en/csp/143.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/143.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/143.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/143.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/143.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/143.jpg?1517813031'};;{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Arctic Flats;"Arctic Flats enters the battlefield tapped.
{T}: Add {G} or {W}.";uncommon;Snow Land;csp;Coldsnap;;
4;Dave Kendall;black;102;['G', 'W'];['G'];;{'small': 'https://img.scryfall.com/cards/small/en/csp/102.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/102.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/102.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/102.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/102.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/102.jpg?1517813031'};{5}{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Arctic Nishoba;"Trample
Cumulative upkeep {G} or {W} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)
When Arctic Nishoba dies, you gain 2 life for each age counter on it.";uncommon;Creature — Cat Warrior;csp;Coldsnap;6;6
5;Pete Venters;black;27;['U'];['U'];"""Artifice sundered the world. It shall not again wreak such sorrow.""";{'small': 'https://img.scryfall.com/cards/small/en/csp/27.jpg?1526080234', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/27.jpg?1526080234', 'large': 'https://img.scryfall.com/cards/large/en/csp/27.jpg?1526080234', 'png': 'https://img.scryfall.com/cards/png/en/csp/27.png?1526080234', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/27.jpg?1526080234', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/27.jpg?1526080234'};{3}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Arcum Dagsson;{T}: Target artifact creature's controller sacrifices it. That player may search their library for a noncreature artifact card, put it onto the battlefield, then shuffle their library.;rare;Legendary Creature — Human Artificer;csp;Coldsnap;2;2
6;Darrell Riche;black;103;['G'];['G'];;{'small': 'https://img.scryfall.com/cards/small/en/csp/103.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/103.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/103.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/103.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/103.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/103.jpg?1517813031'};{5}{G};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Aurochs Herd;"Trample
When Aurochs Herd enters the battlefield, you may search your library for an Aurochs card, reveal it, and put it into your hand. If you do, shuffle your library.
Whenever Aurochs Herd attacks, it gets +1/+0 until end of turn for each other attacking Aurochs.";common;Creature — Aurochs;csp;Coldsnap;4;4
7;Dave Kendall;black;51;['B', 'R'];['B'];;{'small': 'https://img.scryfall.com/cards/small/en/csp/51.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/51.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/51.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/51.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/51.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/51.jpg?1517813031'};{3}{B};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Balduvian Fallen;"Cumulative upkeep {1} (At the beginning of your upkeep, put an age counter on this permanent, then sacrifice it unless you pay its upkeep cost for each age counter on it.)
Whenever Balduvian Fallen's cumulative upkeep is paid, it gets +1/+0 until end of turn for each {B} or {R} spent this way.";uncommon;Creature — Zombie;csp;Coldsnap;3;5
8;Stephen Tappin;black;28;['U'];['U'];"""Whether frozen or fertile, the land is our ally. It awaits the call to battle.""";{'small': 'https://img.scryfall.com/cards/small/en/csp/28.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/28.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/28.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/28.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/28.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/28.jpg?1517813031'};{2}{U};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'not_legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Balduvian Frostwaker;{U}, {T}: Target snow land becomes a 2/2 blue Elemental creature with flying. It's still a land.;uncommon;Creature — Human Wizard;csp;Coldsnap;1;1
9;John Matson;black;76;['R'];['R'];"""Let your heartbeat be the thunder in the valley. Let your swords be the lightning on the peaks."" —Lothar Lovisason, Balduvian chieftain";{'small': 'https://img.scryfall.com/cards/small/en/csp/76.jpg?1517813031', 'normal': 'https://img.scryfall.com/cards/normal/en/csp/76.jpg?1517813031', 'large': 'https://img.scryfall.com/cards/large/en/csp/76.jpg?1517813031', 'png': 'https://img.scryfall.com/cards/png/en/csp/76.png?1517813031', 'art_crop': 'https://img.scryfall.com/cards/art_crop/en/csp/76.jpg?1517813031', 'border_crop': 'https://img.scryfall.com/cards/border_crop/en/csp/76.jpg?1517813031'};{X}{R};{'standard': 'not_legal', 'future': 'not_legal', 'frontier': 'not_legal', 'modern': 'legal', 'legacy': 'legal', 'pauper': 'not_legal', 'vintage': 'legal', 'penny': 'legal', 'commander': 'legal', '1v1': 'legal', 'duel': 'legal', 'brawl': 'not_legal'};Balduvian Rage;"Target attacking creature gets +X/+0 until end of turn.
Draw a card at the beginning of the next turn's upkeep.";uncommon;Instant;csp;Coldsnap;;
